datetime,solrad
2018-04-06 10:20:21,622.0800170898438
2018-04-06 10:40:21,649.9199829101562
2018-04-06 10:50:21,606.0800170898438
2018-04-06 11:00:21,645.1199951171875
2018-04-06 11:30:21,639.0399780273438
2018-04-06 11:40:21,633.9199829101562
2018-04-06 11:50:21,610.8800048828125
2018-04-06 12:00:21,616.9600219726562
2018-04-06 12:20:21,622.0800170898438
2018-04-06 12:30:20,583.0399780273438
2018-04-06 12:40:20,589.1199951171875
2018-04-06 12:50:20,566.0800170898438
2018-04-06 13:00:20,572.1599731445312
2018-04-06 13:10:20,560.9600219726562
2018-04-06 13:20:20,544.0
2018-04-06 13:30:20,471.0400085449219
2018-04-06 13:50:20,481.9200134277344
2018-04-06 14:00:20,432.0
2018-04-06 14:10:20,477.1199951171875
2018-04-06 14:20:20,415.0400085449219
2018-04-06 14:30:20,324.9599914550781
2018-04-06 14:40:20,247.0399932861328
2018-04-06 14:50:20,314.0799865722656
2018-04-06 15:10:20,247.0399932861328
2018-04-06 15:20:19,268.9599914550781
2018-04-06 15:30:19,230.0800018310547
2018-04-06 15:40:19,219.0399932861328
2018-04-06 15:50:19,174.0800018310547
2018-04-06 16:00:19,191.0399932861328
2018-04-06 16:10:19,135.0399932861328
2018-04-06 16:20:19,140.0
2018-04-06 16:30:19,101.04000091552734
2018-04-06 16:40:19,67.0
2018-04-06 16:50:19,22.0
2018-04-06 17:00:19,17.0
2018-04-06 17:20:19,0.0
2018-04-07 05:40:14,17.0
2018-04-07 05:50:14,34.0
2018-04-07 06:00:14,62.0
2018-04-07 06:10:14,84.0
2018-04-07 06:20:14,112.0
2018-04-07 06:30:14,151.0399932861328
2018-04-07 06:40:13,140.0
2018-04-07 06:50:13,129.0399932861328
2018-04-07 07:00:13,140.0
2018-04-07 07:10:13,157.0399932861328
2018-04-07 07:20:13,224.0
2018-04-07 07:30:13,240.9600067138672
2018-04-07 07:40:13,348.1600036621094
2018-04-07 07:50:13,392.9599914550781
2018-04-07 08:00:13,376.0
2018-04-07 08:10:13,324.9599914550781
2018-04-07 08:20:13,415.0400085449219
2018-04-07 08:30:13,398.0799865722656
2018-04-07 08:40:13,454.0799865722656
2018-04-07 08:50:13,533.1199951171875
2018-04-07 09:00:13,544.0
2018-04-07 09:10:13,510.0799865722656
2018-04-07 09:20:12,520.9600219726562
