datetime,CO2,T,solrad,Tout,occ,dpos,vpos
2018-04-04 06:30:00,807.6799926757812,295.0833330790202,71.0,280.65,37.333333333333336,70.19607843137256,1.372549057006836
2018-04-04 07:00:00,772.239990234375,294.9250000953674,100.65333557128906,280.65,41.166666666666664,70.19607843137256,1.372549057006836
2018-04-04 07:30:00,839.2960083007813,294.9999994277954,196.32000223795572,282.65,43.266666666666666,70.19607843137256,1.372549057006836
2018-04-04 08:00:00,768.182861328125,295.20000019073484,364.3733317057292,284.15,38.2,70.19607843137256,1.372549057006836
2018-04-04 08:30:00,797.6960083007813,295.1833334604899,396.05332946777344,283.65,43.13333333333333,70.19607843137256,1.372549057006836
2018-04-04 09:00:00,770.0266621907552,295.3000000953674,112.35999806722005,282.65,33.9,70.19607843137256,1.372549057006836
2018-04-04 09:30:00,711.6800028483073,295.20000019073484,95.68000030517578,282.65,24.566666666666666,70.19607843137256,1.372549057006836
2018-04-04 10:00:00,743.9085518973214,295.2500003814697,194.32000223795572,282.65,38.06666666666667,57.64705882352941,1.372549057006836
2018-04-04 10:30:00,755.6266682942709,294.9499998728434,65.33333333333333,282.65,39.9,57.64705882352941,1.372549057006836
2018-04-04 11:00:00,723.2914341517857,294.9499997138977,80.34666442871094,282.15,34.36666666666667,57.64705882352941,1.372549057006836
2018-04-04 11:30:00,724.2666727701823,294.80000057220457,82.02666727701823,282.15,39.733333333333334,57.64705882352941,1.372549057006836
2018-04-04 12:00:00,752.9600016276041,295.2899997711181,87.68000030517578,283.65,35.56666666666667,57.64705882352941,1.372549057006836
2018-04-04 12:30:00,735.8400065104166,295.2500003814697,190.34666442871094,283.65,39.266666666666666,57.64705882352941,1.372549057006836
2018-04-04 13:00:00,795.9466756184896,295.54999961853025,188.7199961344401,283.65,38.46666666666667,57.64705882352941,1.372549057006836
2018-04-04 13:30:00,719.4666646321615,295.2500003814697,275.0933329264323,283.65,20.733333333333334,57.64705882352941,1.372549057006836
2018-04-04 14:00:00,556.3885890415737,294.9499998728434,370.02667236328125,284.65,2.9,32.35294117647059,1.372549057006836
2018-04-04 14:30:00,499.6800079345703,294.9499992370605,263.67999267578125,284.65,1.5,32.35294117647059,1.372549057006836
2018-04-04 15:00:00,470.3999989827474,294.9999994277954,98.0,284.65,0.0,32.35294117647059,1.372549057006836
2018-04-04 15:30:00,451.6800028483073,294.88333358764646,45.0,283.65,0.0,0.0,1.372549057006836
2018-04-04 16:00:00,458.24000040690106,295.20000019073484,11.0,282.65,0.3,0.0,1.372549057006836
2018-04-04 16:30:00,496.05333455403644,295.20000019073484,5.5,282.65,1.0,19.607843137254903,1.372549057006836
2018-04-04 17:00:00,469.7066701253255,295.54999961853025,5.5,281.54999961853025,0.03333333333333333,19.607843137254903,1.372549057006836
2018-04-04 17:30:00,447.8933410644531,295.28333320617674,5.5,280.54999961853025,0.0,19.607843137254903,1.372549057006836
2018-04-04 18:00:00,453.0133361816406,295.3249997138977,5.5,279.54999961853025,0.03333333333333333,0.0,1.372549057006836
2018-04-04 18:30:00,459.51999918619794,295.3249997138977,5.5,281.04999961853025,0.0,0.0,1.372549057006836
2018-04-04 19:00:00,453.65333048502606,295.3249997138977,5.5,282.54999961853025,0.0,0.0,1.372549057006836
2018-04-04 19:30:00,450.7200012207031,295.4499992370605,5.5,282.54999961853025,0.0,0.0,1.372549057006836
2018-04-04 20:00:00,448.9066670735677,295.35000076293943,5.5,281.54999961853025,0.0,0.0,1.372549057006836
2018-04-04 20:30:00,445.0559997558594,295.35000076293943,5.5,281.54999961853025,0.0,0.0,1.372549057006836
2018-04-04 21:00:00,443.67999776204425,295.35000076293943,5.5,281.54999961853025,0.0,0.0,1.372549057006836
2018-04-04 21:30:00,439.8933359781901,295.35000076293943,5.5,280.54999961853025,0.0,0.0,1.372549057006836
2018-04-04 22:00:00,440.25599365234376,295.35000076293943,5.5,279.04999961853025,0.0,0.0,1.372549057006836
2018-04-04 22:30:00,438.61333719889325,295.2500003814697,5.5,279.04999961853025,0.0,0.0,1.372549057006836
2018-04-04 23:00:00,439.73333231608075,295.2500003814697,5.5,279.04999961853025,0.0,0.0,1.372549057006836
2018-04-04 23:30:00,434.43199462890624,295.2500003814697,5.5,278.0449999809265,0.0,0.0,1.372549057006836
2018-04-05 00:00:00,433.0133310953776,295.2500003814697,5.5,278.0449999809265,0.0,0.0,1.372549057006836
2018-04-05 00:30:00,431.36000569661456,295.2500003814697,5.5,278.0449999809265,0.0,0.0,1.372549057006836
2018-04-05 01:00:00,427.456005859375,295.15,5.5,279.04999961853025,0.0,0.0,1.372549057006836
2018-04-05 01:30:00,435.12000274658203,295.15,5.5,279.04999961853025,0.0,0.0,1.372549057006836
2018-04-05 02:00:00,437.8666636149089,295.15,5.5,278.0449999809265,0.0,0.0,1.372549057006836
2018-04-05 02:30:00,428.63999938964844,295.15,5.5,278.0449999809265,0.0,0.0,1.372549057006836
2018-04-05 03:00:00,428.4266611735026,295.15,5.5,277.54000034332273,0.0,0.0,1.372549057006836
2018-04-05 03:30:00,427.00799560546875,295.15,5.5,277.54000034332273,0.0,0.0,1.372549057006836
2018-04-05 04:00:00,454.1866709391276,294.9499998728434,5.5,278.54999961853025,0.0,0.0,1.372549057006836
2018-04-05 04:30:00,452.2133331298828,294.70000019073484,5.5,278.0449999809265,0.0,0.0,1.372549057006836
2018-04-05 05:00:00,439.7866668701172,294.95000019073484,5.5,278.0449999809265,0.7333333333333333,19.607843137254903,1.372549057006836
