datetime,CO2
2018-04-03 22:00:28,437.760009765625
2018-04-03 22:05:29,427.8399963378906
2018-04-03 22:10:29,433.9200134277344
2018-04-03 22:15:30,432.0
2018-04-03 22:20:31,426.8800048828125
2018-04-03 22:25:31,428.79998779296875
2018-04-03 22:30:32,434.8800048828125
2018-04-03 22:35:33,432.9599914550781
2018-04-03 22:40:34,435.8399963378906
2018-04-03 22:45:35,436.79998779296875
2018-04-03 22:50:35,433.9200134277344
2018-04-03 22:55:36,434.8800048828125
2018-04-03 23:00:36,436.79998779296875
2018-04-03 23:05:37,428.79998779296875
2018-04-03 23:10:38,430.7200012207031
2018-04-03 23:15:38,429.760009765625
2018-04-03 23:20:39,432.0
2018-04-03 23:25:40,438.7200012207031
2018-04-03 23:30:40,428.79998779296875
2018-04-03 23:35:41,430.7200012207031
2018-04-03 23:40:42,424.0
2018-04-03 23:45:43,424.9599914550781
2018-04-03 23:50:43,429.760009765625
2018-04-03 23:55:44,426.8800048828125
2018-04-04 00:00:45,440.9599914550781
2018-04-04 00:05:46,432.0
2018-04-04 00:10:46,424.9599914550781
2018-04-04 00:15:47,432.0
2018-04-04 00:20:48,430.7200012207031
2018-04-04 00:25:48,429.760009765625
2018-04-04 00:30:49,426.8800048828125
2018-04-04 00:35:50,432.9599914550781
2018-04-04 00:40:51,424.0
2018-04-04 00:50:52,430.7200012207031
2018-04-04 00:55:53,427.8399963378906
2018-04-04 01:00:54,428.79998779296875
2018-04-04 01:05:54,417.9200134277344
2018-04-04 01:10:55,429.760009765625
2018-04-04 01:15:56,432.9599914550781
2018-04-04 01:20:57,433.9200134277344
2018-04-04 01:25:57,429.760009765625
2018-04-04 01:30:58,434.8800048828125
2018-04-04 01:35:59,429.760009765625
2018-04-04 01:40:59,422.7200012207031
2018-04-04 01:46:00,419.8399963378906
2018-04-04 01:51:01,424.9599914550781
2018-04-04 01:56:02,425.9200134277344
2018-04-04 02:01:02,428.79998779296875
2018-04-04 02:06:03,421.760009765625
2018-04-04 02:11:03,424.9599914550781
2018-04-04 02:16:04,428.79998779296875
2018-04-04 02:21:05,426.8800048828125
2018-04-04 02:26:05,427.8399963378906
2018-04-04 02:31:06,426.8800048828125
2018-04-04 02:36:07,432.0
2018-04-04 02:41:07,427.8399963378906
2018-04-04 02:51:09,428.79998779296875
2018-04-04 02:56:10,432.0
2018-04-04 03:01:10,426.8800048828125
2018-04-04 03:06:11,433.9200134277344
2018-04-04 03:11:12,434.8800048828125
2018-04-04 03:16:12,426.8800048828125
2018-04-04 03:21:13,424.0
2018-04-04 03:26:14,430.7200012207031
2018-04-04 03:31:15,426.8800048828125
2018-04-04 03:36:16,424.9599914550781
2018-04-04 03:41:16,433.9200134277344
2018-04-04 03:46:17,432.0
2018-04-04 03:51:18,429.760009765625
2018-04-04 03:56:19,427.8399963378906
2018-04-04 04:01:20,430.7200012207031
2018-04-04 04:06:20,434.8800048828125
2018-04-04 04:11:21,427.8399963378906
